Participant,Group,Question_ID,CARE_Dimension,Rating,Motivation
Group_A_results_20260511_125521,A,2,Adaptive (Background/Complexity),5,The background text is reassuring.
Group_A_results_20260511_125521,A,3,Adaptive (Tailored Presentation),5,The text felt approachable.
Group_A_results_20260511_125521,A,4,Responsible (Verifiability),3,"While every answer is presented in both a brief and underdtandable snippet and in an on-demand, in-depth background text, I feel like this background text does not really let me ""verify"" the facts, as it is yet another machine-generater (summary) test. I would need linked references to the actual text to feel confident."
Group_A_results_20260511_125521,A,5,Responsible (Capabilities/Limitations),4,I think understanding of limitations comes a lot from one's AI literacy. Perhaps the tutorial for the use of the system should clearly state the limits.
Group_A_results_20260511_125521,A,6,Explainable (Reasoning),4,"I can use the background text as a double check on the veracity of the information provided, so it is ""explainable"" in this sense. I would not say it is too ""explainable"" in the sense of the system's functioning, which is still not too clear to me"
Group_A_results_20260511_125521,A,7,Explainable (Confidence/Trust),3,I would still need to check the original sources before using them for research.
Group_A_results_20260511_130221,A,0,Collaborative (Accurate/Complete),3,I would've felt the answers were accurate and complete if it provided sources which were used to arrive at the summary.
Group_A_results_20260511_130221,A,1,Collaborative (Domain Understanding),3,Considering the bias I have towards LLM based answers I consider this to be the appropriate rating.
Group_A_results_20260511_130221,A,2,Adaptive (Background/Complexity),3,Yes. If I had completely trusted the answers I would have rated it 5.
Group_A_results_20260511_130221,A,3,Adaptive (Tailored Presentation),4,Structuring of the information was good.
Group_A_results_20260511_130221,A,4,Responsible (Verifiability),3,I did not perform any action for verfying the facts.
Group_A_results_20260511_130221,A,5,Responsible (Capabilities/Limitations),1,Nope..
Group_A_results_20260511_130221,A,6,Explainable (Reasoning),1,Nope..
Group_A_results_20260511_130221,A,7,Explainable (Confidence/Trust),1,Nope..
Group_B_results_20260511_125628,B,0,Collaborative (Accurate/Complete),3,"Some of the titles were a bit inconsistent (Mobile LLM vs Mobile LLU) and the LLM hallucination mitigation part had the current research as the main answer, and left the gaps only in the ""extended reasoning"" section (when we had specifically asked for gaps and novel RQs). The rest was good."
Group_B_results_20260511_125628,B,1,Collaborative (Domain Understanding),4,Yes it was all plausible.
Group_B_results_20260511_125628,B,2,Adaptive (Background/Complexity),4,That was pretty helpful to make me trust it a bit more.
Group_B_results_20260511_125628,B,3,Adaptive (Tailored Presentation),4,Yes definitely!
Group_B_results_20260511_125628,B,4,Responsible (Verifiability),4,"I have some background with transformer models so I could verify most of it. However with the mitigation research I wasn't sure of the assistant's assertion of there just being ""two main strands"" of that research. I would guess there being more."
Group_B_results_20260511_125628,B,5,Responsible (Capabilities/Limitations),4,I would want to know more about internal workings (like how does the knowledge graph interact with the LLM's text response?)
Group_B_results_20260511_125628,B,6,Explainable (Reasoning),4,"What I saw between the graph, entities in the text and the 'know more"" section was at least a plausible explanation. I'm not sure if it's the actual reasoning but from a quick glance, it checks out."
Group_B_results_20260511_125628,B,7,Explainable (Confidence/Trust),3,Definitely. Though I would want to know more about how the system specifically works to get this information. I would use it more for background questions instead of identifying gaps and novel RQs.
